City,Region,Year,Population
Bangalore,Asia,2015,10014108
Beijing,Asia,2015,18421198
Bogota,South America,2015,9707746
Buenos Aires,South America,2015,14705533
Cairo,Africa,2015,18820072
Chongqing,Asia,2015,13372015
Delhi,Asia,2015,25865875
Dhaka,Africa,2015,17597177
Guangzhou,Asia,2015,11694882
Istanbul,Europe,2015,14126772
Jakarta,Asia,2015,10173388
Karachi,Asia,2015,15428916
Kinshasa,Africa,2015,11597706
Kolkata,Asia,2015,14442267
Lagos,Africa,2015,12239206
Lahore,Asia,2015,10369137
Los Angeles,North America,2015,12345219
Manila,Asia,2015,12860058
Mexico City,North America,2015,21339781
Moscow,Asia,2015,12049135
Mumbai,Asia,2015,19315737
New York,North America,2015,18647626
Osaka,Asia,2015,19304722
Paris,Europe,2015,10733502
Rio de Janeiro,South America,2015,12940796
Sao Paulo,South America,2015,20883046
Shanghai,Asia,2015,23482181
Shenzhen,Asia,2015,11275391
Tianjin,Asia,2015,12516041
Tokyo,Asia,2015,37256109
